name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
MUTUAL_ACTION_PLAN_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
CAP_1_C,FLOAT,COLUMN,Y,,N,N,,,,,
CAPACITY_DISCOUNT_C,FLOAT,COLUMN,Y,,N,N,,,,,
INDUSTRY_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
IN_MY_NUMBER_PS_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
OPPORTUNITY_LOCKED_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
PARTNER_NAME_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
QUALITY_OF_OPPORTUNITY_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
TRACT_ENTRY_DATE_C,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
WI_LEAD_ID_C,FLOAT,COLUMN,Y,,N,N,,,,,
LEAD_SALES_ENGINEER_FOR_THIS_OPPORTUNITY_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
DEACTIVATIONS_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
DNBI_COMMERCIAL_CREDIT_SCORE_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
DNBI_DN_B_COMPANY_NAME_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
REFERRED_BY_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
CHAMPION_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
COMPETING_AGAINST_C,VARCHAR(4099),COLUMN,Y,,N,N,,,,,
DSE_ORDER_NUMBER_C,VARCHAR(24),COLUMN,Y,,N,N,,,,,
FISCAL,VARCHAR(6),COLUMN,Y,,N,N,,,,,
FISCAL_YEAR,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
DNBI_VIABILITY_DATA_DEPTH_INDICATOR_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
POC_END_DATE_C,DATE,COLUMN,Y,,N,N,,,,,
ADDITIONAL_DEPLOYMENT_REQUEST_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
MONTHLY_MINIMUM_C,FLOAT,COLUMN,Y,,N,N,,,,,
PRIMARY_DEPLOYMENT_CLOUD_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
FORECAST_CATEGORY,VARCHAR(120),COLUMN,Y,,N,N,,,,,
ID,VARCHAR(18),COLUMN,Y,,N,N,,,,,
LINK_TO_BVA_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
WHY_CHANGE_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
ADDRESSED_SNOWFLAKE_VIABILITY_CONCERN_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
AMENDMENT_TYPE_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
APPROVED_FOR_PROVISIONING_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
NAME,VARCHAR(360),COLUMN,Y,,N,N,,,,,
ALLOW_BACKDATING_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
BVA_COMPLETED_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
NDA_RECEIVED_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
COUPA_PO_C,VARCHAR(60),COLUMN,Y,,N,N,,,,,
DNBI_COMMERCIAL_CREDIT_SCORE_PERCENTILES_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
FISCAL_QUARTER,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
LEAD_SE_3_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
PENETRATION_TEST_REPORT_SENT_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
POC_RISK_LEVEL_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
REASON_FOR_NO_SI_PARTNER_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
SUPPORT_FORECAST_C,FLOAT,COLUMN,Y,,N,N,,,,,
CONTACT_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
DATE_ACCEPTED_C,DATE,COLUMN,Y,,N,N,,,,,
CLOSED_LOST_RE_MARKET_DATE_C,DATE,COLUMN,Y,,N,N,,,,,
DEAL_REGISTRATION_ID_C,VARCHAR(300),COLUMN,Y,,N,N,,,,,
DNBI_PRIMARY_NAICS_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
LAST_MODIFIED_DATE,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
LID_LINKED_IN_COMPANY_ID_C,VARCHAR(240),COLUMN,Y,,N,N,,,,,
LIVE_POC_PLAN_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
MANAGER_NOTES_C,VARCHAR(98304),COLUMN,Y,,N,N,,,,,
METRICS_C,VARCHAR(30000),COLUMN,Y,,N,N,,,,,
SBQQ_QUOTE_PRICEBOOK_ID_C,VARCHAR(54),COLUMN,Y,,N,N,,,,,
SE_COMMENTS_C,VARCHAR(98304),COLUMN,Y,,N,N,,,,,
GCP_CONTRACT_SHARE_C,FLOAT,COLUMN,Y,,N,N,,,,,
DNBI_EMPLOYEES_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
EARLY_ADOPTER_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
NON_STANDARD_TERMS_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
PSE_PRACTICE_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
REDLINES_COMPLETED_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
VAT_GST_NO_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
RECORD_TYPE_ID,VARCHAR(18),COLUMN,Y,,N,N,,,,,
SBAA_SUBMITTED_USER_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
SBQQ_AMENDED_CONTRACT_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
SBQQ_PRIMARY_QUOTE_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
LEVEL_OF_PAIN_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
LOST_TO_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
PAYMENT_FREQUENCY_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
PSE_PARENT_OPPORTUNITY_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
LOST_TO_OTHER_C,VARCHAR(60),COLUMN,Y,,N,N,,,,,
SBAA_SUBMITTED_DATE_C,DATE,COLUMN,Y,,N,N,,,,,
LAST_ACTIVITY_DATE,DATE,COLUMN,Y,,N,N,,,,,
SBQQ_RENEWED_CONTRACT_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
SQO_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
SECONDARY_DEPLOYMENT_CLOUD_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
AMENDMENT_ORDER_NUMBER_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
IS_WON,BOOLEAN,COLUMN,Y,,N,N,,,,,
REFERENCE_CALL_COMPLETED_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
REFERRED_BY_OTHER_C,VARCHAR(60),COLUMN,Y,,N,N,,,,,
REJECTED_DATE_C,DATE,COLUMN,Y,,N,N,,,,,
LEAN_DATA_REPORTING_OPPORTUNITY_SOURCE_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
POREQUIRED_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
SOC_REPORT_SENT_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
CAPACITY_COUNTER_C,FLOAT,COLUMN,Y,,N,N,,,,,
DNBI_DN_B_APPLICATION_ID_C,VARCHAR(75),COLUMN,Y,,N,N,,,,,
DNBI_D_B_ADDRESS_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
DSCORGPKG_CONVERTED_FROM_DISCOVERORG_DATA_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
PSE_GROUP_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
LEAN_DATA_DAYS_IN_STAGE_C,FLOAT,COLUMN,Y,,N,N,,,,,
PSE_RATE_CARD_PERCENTAGE_DISCOUNT_C,FLOAT,COLUMN,Y,,N,N,,,,,
USER_BUYER_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
DNBI_D_B_COUNTRY_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
LAST_CONTACT_UPDATE_C,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
PRICEBOOK_2_ID,VARCHAR(18),COLUMN,Y,,N,N,,,,,
PROBABILITY,FLOAT,COLUMN,Y,,N,N,,,,,
LEAN_DATA_ROUTING_ACTION_C,VARCHAR(96),COLUMN,Y,,N,N,,,,,
PARTNER_REFERRAL_C,VARCHAR(4099),COLUMN,Y,,N,N,,,,,
NON_STANDARD_DEAL_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
AZURE_REGISTERED_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
LEAN_DATA_REPORTING_LAST_RUN_DATE_C,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
MANAGER_FORECAST_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
CONTRACT_STATUS_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
LITMOS_ORDER_NUMBER_C,VARCHAR(24),COLUMN,Y,,N,N,,,,,
SALES_QUALIFIED_DATE_C,DATE,COLUMN,Y,,N,N,,,,,
SOLUTION_PARTNER_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
TRAKT_ORDER_NUMBER_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
CHANNEL_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
CREATED_DATE,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
DATABASE_STORAGE_TB_C,FLOAT,COLUMN,Y,,N,N,,,,,
LITMOS_TRACKING_NUMBER_C,VARCHAR(36),COLUMN,Y,,N,N,,,,,
USE_CASES_C,VARCHAR(4099),COLUMN,Y,,N,N,,,,,
PRE_SEGMENTATION_OPPORTUNITY_OWNER_ID_C,VARCHAR(300),COLUMN,Y,,N,N,,,,,
DEALS_ALERT_EMAIL_SENT_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
DECOMMISSION_SNOWFLAKE_ACCOUNT_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
DNBI_DN_B_DUNS_NO_C,VARCHAR(33),COLUMN,Y,,N,N,,,,,
PARTNER_INVOLVEMENT_C,VARCHAR(4099),COLUMN,Y,,N,N,,,,,
SBQQ_CONTRACTED_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
CREDITED_BDR_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
DNBI_DN_B_CREDIT_TERM_STATUS_C,VARCHAR(90),COLUMN,Y,,N,N,,,,,
MAIN_CLOUD_FOR_THIS_OPPORTUNITY_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
SYSTEM_MODSTAMP,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
DEBOOKED_OPPORTUNITY_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
IS_CLOSED,BOOLEAN,COLUMN,Y,,N,N,,,,,
PSE_FORECAST_CURVE_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
SOLUTION_PARTNER_NEW_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
SOURCED_PARTNER_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
CLOUD_PLATFORM_C,VARCHAR(4099),COLUMN,Y,,N,N,,,,,
CLOSE_PLAN_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
CLOUD_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
DNBI_DN_B_APPLICATION_MODIFIED_DATE_C,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
DNBI_PAYDEX_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
PRIMARY_DEPLOYMENT_REGION_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
REFERRED_TO_OTHER_C,VARCHAR(60),COLUMN,Y,,N,N,,,,,
TECHNOLOGY_C,VARCHAR(98304),COLUMN,Y,,N,N,,,,,
CREATED_BY_ROLE_C,VARCHAR(480),COLUMN,Y,,N,N,,,,,
CROSS_SELL_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
PRODUCT_INTEREST_C,VARCHAR(750),COLUMN,Y,,N,N,,,,,
STORAGE_AMENDMENT_ON_FILE_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
IDENTIFY_PAIN_C,VARCHAR(75000),COLUMN,Y,,N,N,,,,,
OTHER_USE_CASES_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
AWS_REGISTERED_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
COMPETITIVE_CONFIGURATION_C,VARCHAR(750),COLUMN,Y,,N,N,,,,,
CLOUD_REGISTRATION_ACCEPTED_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
DNBI_DN_B_EARLY_PAYMENT_DISCOUNT_C,VARCHAR(300),COLUMN,Y,,N,N,,,,,
DNBI_FINANCIAL_STRESS_SCORE_CLASS_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
PARTNER_TYPE_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
SBAA_STEP_APPROVED_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
IN_MY_NUMBER_RD_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
ON_DEMAND_PROHIBITED_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
IN_MY_NUMBER_SD_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
IS_PRIVATE,BOOLEAN,COLUMN,Y,,N,N,,,,,
